name,year,runtime,genre,rating
The Shawshank Redemption,1994,142 min,Drama,9.3
The Godfather,1972,175 min,Crime: Drama,9.2
The Dark Knight,2008,152 min,Action: Crime: Drama,9.0
The Godfather: Part II,1974,202 min,Crime: Drama,9.0
The Lord of the Rings: The Return of the King,2003,201 min,Adventure: Drama: Fantasy,8.9
Pulp Fiction,1994,154 min,Crime: Drama,8.9
Schindler's List,1993,195 min,Biography: Drama: History,8.9
12 Angry Men,1957,96 min,Crime: Drama,8.9
Inception,2010,148 min,Action: Adventure: Sci-Fi,8.8
Fight Club,1999,139 min,Drama,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,Action: Adventure: Drama,8.8
Forrest Gump,1994,142 min,Drama: Romance,8.8
Il buono: il brutto: il cattivo,1966,161 min,Western,8.8
The Lord of the Rings: The Two Towers,2002,179 min,Adventure: Drama: Fantasy,8.7
The Matrix,1999,136 min,Action: Sci-Fi,8.7
Goodfellas,1990,146 min,Biography: Crime: Drama,8.7
Star Wars: Episode V - The Empire Strikes Back,1980,124 min,Action: Adventure: Fantasy,8.7
One Flew Over the Cuckoo's Nest,1975,133 min,Drama,8.7
Seppuku,1962,133 min,Action: Drama: History,8.7
Gisaengchung,2019,132 min,Comedy: Drama: Thriller,8.6
Interstellar,2014,169 min,Adventure: Drama: Sci-Fi,8.6
Cidade de Deus,2002,130 min,Crime: Drama,8.6
Sen to Chihiro no kamikakushi,2001,125 min,Animation: Adventure: Family,8.6
Saving Private Ryan,1998,169 min,Drama: War,8.6
The Green Mile,1999,189 min,Crime: Drama: Fantasy,8.6
La vita è bella,1997,116 min,Comedy: Drama: Romance,8.6
Se7en,1995,127 min,Crime: Drama: Mystery,8.6
The Silence of the Lambs,1991,118 min,Crime: Drama: Thriller,8.6
Star Wars,1977,121 min,Action: Adventure: Fantasy,8.6
Anand,1971,122 min,Drama: Musical,8.6
Shichinin no samurai,1954,207 min,Action: Adventure: Drama,8.6
It's a Wonderful Life,1946,130 min,Drama: Family: Fantasy,8.6
Joker,2019,122 min,Crime: Drama: Thriller,8.5
Whiplash,2014,106 min,Drama: Music,8.5
The Intouchables,2011,112 min,Biography: Comedy: Drama,8.5
The Prestige,2006,130 min,Drama: Mystery: Sci-Fi,8.5
The Departed,2006,151 min,Crime: Drama: Thriller,8.5
The Pianist,2002,150 min,Biography: Drama: Music,8.5
Gladiator,2000,155 min,Action: Adventure: Drama,8.5
American History X,1998,119 min,Drama,8.5
The Usual Suspects,1995,106 min,Crime: Mystery: Thriller,8.5
Léon,1994,110 min,Action: Crime: Drama,8.5
The Lion King,1994,88 min,Animation: Adventure: Drama,8.5
Terminator 2: Judgment Day,1991,137 min,Action: Sci-Fi,8.5
Nuovo Cinema Paradiso,1988,155 min,Drama,8.5
Hotaru no haka,1988,89 min,Animation: Drama: War,8.5
Back to the Future,1985,116 min,Adventure: Comedy: Sci-Fi,8.5
Once Upon a Time in the West,1968,165 min,Western,8.5
Tengoku to jigoku,1963,143 min,Crime: Drama: Mystery,8.5
Psycho,1960,109 min,Horror: Mystery: Thriller,8.5
